name,version,license,repository
aead,0.5.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
aead,0.6.1,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
anyhow,1.0.104,MIT OR Apache-2.0,https://github.com/dtolnay/anyhow
arc-swap,1.9.2,MIT OR Apache-2.0,https://github.com/vorner/arc-swap
argon2,0.5.3,MIT OR Apache-2.0,https://github.com/RustCrypto/password-hashes/tree/master/argon2
argon2,0.6.0-rc.8,MIT OR Apache-2.0,https://github.com/RustCrypto/password-hashes
arrayref,0.3.9,BSD-2-Clause,https://github.com/droundy/arrayref
arrayvec,0.7.8,MIT OR Apache-2.0,https://github.com/bluss/arrayvec
asn1-rs,0.6.2,MIT OR Apache-2.0,https://github.com/rusticata/asn1-rs.git
asn1-rs-derive,0.5.1,MIT OR Apache-2.0,https://github.com/rusticata/asn1-rs.git
asn1-rs-impl,0.2.0,MIT/Apache-2.0,https://github.com/rusticata/asn1-rs.git
atomic-waker,1.1.2,Apache-2.0 OR MIT,https://github.com/smol-rs/atomic-waker
autocfg,1.5.1,Apache-2.0 OR MIT,https://github.com/cuviper/autocfg
aws-lc-rs,1.17.3,ISC AND (Apache-2.0 OR ISC),https://github.com/aws/aws-lc-rs
aws-lc-sys,0.43.0,ISC AND (Apache-2.0 OR ISC) AND Apache-2.0 AND MIT AND BSD-3-Clause AND (Apache-2.0 OR ISC OR MIT) AND (Apache-2.0 OR ISC OR MIT-0),https://github.com/aws/aws-lc-rs
base-x,0.2.11,MIT,https://github.com/OrKoN/base-x-rs
base256emoji,1.0.2,MIT,https://github.com/Jorropo/base256emoji/
base45,3.2.0,MIT,https://github.com/opendevtools/base45
base58-monero,2.1.0,MIT,https://github.com/monero-rs/base58-monero
base64,0.13.1,MIT/Apache-2.0,https://github.com/marshallpierce/rust-base64
base64,0.21.7,MIT OR Apache-2.0,https://github.com/marshallpierce/rust-base64
base64,0.22.1,MIT OR Apache-2.0,https://github.com/marshallpierce/rust-base64
base64ct,1.8.3,Apache-2.0 OR MIT,https://github.com/RustCrypto/formats
base64urlsafedata,0.5.5,MPL-2.0,https://github.com/kanidm/webauthn-rs
bech32,0.11.1,MIT,https://github.com/rust-bitcoin/rust-bech32
bincode,1.3.3,MIT,https://github.com/servo/bincode
bitflags,2.13.1,MIT OR Apache-2.0,https://github.com/bitflags/bitflags
bitvec,1.1.1,MIT,https://github.com/bitvecto-rs/bitvec
blake2,0.10.6,MIT OR Apache-2.0,https://github.com/RustCrypto/hashes
blake2,0.11.0-rc.6,MIT OR Apache-2.0,https://github.com/RustCrypto/hashes
blake3,1.8.5,CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception,https://github.com/BLAKE3-team/BLAKE3
block-buffer,0.10.4,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
block-buffer,0.12.1,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
bnum,0.13.0,MIT OR Apache-2.0,https://github.com/isaacholt100/bnum
borsh,1.8.0,MIT OR Apache-2.0,https://github.com/near/borsh-rs
borsh-derive,1.8.0,Apache-2.0,https://github.com/near/borsh-rs
bounded-vec,0.9.0,CC0-1.0,https://github.com/ergoplatform/bounded-vec
bs58,0.5.1,MIT/Apache-2.0,https://github.com/Nullus157/bs58-rs
bumpalo,3.20.3,MIT OR Apache-2.0,https://github.com/fitzgen/bumpalo
byte-slice-cast,1.2.3,MIT,https://github.com/sdroege/bytes-num-slice-cast
byteorder,1.5.0,Unlicense OR MIT,https://github.com/BurntSushi/byteorder
bytes,1.12.1,MIT,https://github.com/tokio-rs/bytes
cargo_toml,0.20.5,Apache-2.0 OR MIT,https://gitlab.com/lib.rs/cargo_toml
cargo_toml,0.22.3,Apache-2.0 OR MIT,https://gitlab.com/lib.rs/cargo_toml
cc,1.4.0,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
cfg-if,1.0.4,MIT OR Apache-2.0,https://github.com/rust-lang/cfg-if
cfg_aliases,0.2.2,MIT,https://github.com/katharostech/cfg_aliases
chacha20,0.10.1,MIT OR Apache-2.0,https://github.com/RustCrypto/stream-ciphers
chacha20,0.7.3,Apache-2.0 OR MIT,https://github.com/RustCrypto/stream-ciphers
chacha20,0.9.1,Apache-2.0 OR MIT,https://github.com/RustCrypto/stream-ciphers
chacha20poly1305,0.10.1,Apache-2.0 OR MIT,https://github.com/RustCrypto/AEADs/tree/master/chacha20poly1305
chacha20poly1305,0.11.0,Apache-2.0 OR MIT,https://github.com/RustCrypto/AEADs
cipher,0.3.0,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cipher,0.4.4,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cipher,0.5.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cmake,0.1.58,MIT OR Apache-2.0,https://github.com/rust-lang/cmake-rs
cmov,0.5.4,Apache-2.0 OR MIT,https://github.com/RustCrypto/utils
combine,4.6.7,MIT,https://github.com/Marwes/combine
config,0.14.1,MIT OR Apache-2.0,https://github.com/rust-cli/config-rs
const-str,0.4.3,MIT,https://github.com/Nugine/const-str
const_format,0.2.36,Zlib,https://github.com/rodrimati1992/const_format_crates/
const_format_proc_macros,0.2.34,Zlib,https://github.com/rodrimati1992/const_format_crates/
constant_time_eq,0.4.2,CC0-1.0 OR MIT-0 OR Apache-2.0,https://github.com/cesarb/constant_time_eq
cookie,0.18.1,MIT OR Apache-2.0,https://github.com/SergioBenitez/cookie-rs
cookie_store,0.22.1,MIT OR Apache-2.0,https://github.com/pfernie/cookie_store
core-foundation,0.10.1,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation,0.9.4,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation-sys,0.8.7,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
cpufeatures,0.2.17,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
cpufeatures,0.3.0,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
crc32fast,1.5.0,MIT OR Apache-2.0,https://github.com/srijs/rust-crc32fast
critical-section,1.2.0,MIT OR Apache-2.0,https://github.com/rust-embedded/critical-section
crunchy,0.2.4,MIT,https://github.com/eira-fransham/crunchy
crypto-bigint,0.5.5,Apache-2.0 OR MIT,https://github.com/RustCrypto/crypto-bigint
crypto-common,0.1.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
crypto-common,0.2.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
ctutils,0.4.2,Apache-2.0 OR MIT,https://github.com/RustCrypto/utils
curve25519-dalek,4.1.3,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
curve25519-dalek,5.0.0,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
curve25519-dalek-derive,0.1.1,MIT/Apache-2.0,https://github.com/dalek-cryptography/curve25519-dalek
data-encoding,2.11.1,MIT,https://github.com/ia0/data-encoding
data-encoding-macro,0.1.21,MIT,https://github.com/ia0/data-encoding
data-encoding-macro-internal,0.1.19,MIT,https://github.com/ia0/data-encoding
der-parser,9.0.0,MIT/Apache-2.0,https://github.com/rusticata/der-parser.git
deranged,0.5.8,MIT OR Apache-2.0,https://github.com/jhpratt/deranged
derive_more,2.1.1,MIT,https://github.com/JelteF/derive_more
derive_more-impl,2.1.1,MIT,https://github.com/JelteF/derive_more
destructure_traitobject,0.2.0,MIT/Apache-2.0,https://github.com/philip-peterson/destructure_traitobject.git
digest,0.10.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
digest,0.11.3,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
dirs-next,1.0.2,MIT OR Apache-2.0,https://github.com/xdg-rs/dirs
dirs-sys-next,0.1.2,MIT OR Apache-2.0,https://github.com/xdg-rs/dirs/tree/master/dirs-sys
displaydoc,0.2.7,MIT OR Apache-2.0,https://github.com/yaahc/displaydoc
doc-comment,0.3.4,MIT,https://github.com/GuillaumeGomez/doc-comment
document-features,0.2.12,MIT OR Apache-2.0,https://github.com/slint-ui/document-features
dunce,1.0.5,CC0-1.0 OR MIT-0 OR Apache-2.0,https://gitlab.com/kornelski/dunce
ed25519,3.0.0,Apache-2.0 OR MIT,https://github.com/RustCrypto/signatures
ed25519-dalek,3.0.0,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/ed25519-dalek
either,1.17.0,MIT OR Apache-2.0,https://github.com/rayon-rs/either
encoding_rs,0.8.35,(Apache-2.0 OR MIT) AND BSD-3-Clause,https://github.com/hsivonen/encoding_rs
equivalent,1.0.2,Apache-2.0 OR MIT,https://github.com/indexmap-rs/equivalent
errno,0.3.14,MIT OR Apache-2.0,https://github.com/lambda-fairy/rust-errno
ethnum,1.5.3,MIT OR Apache-2.0,https://github.com/nlordell/ethnum-rs
faster-hex,0.9.0,MIT,https://github.com/NervosFoundation/faster-hex
fastrand,2.5.0,Apache-2.0 OR MIT,https://github.com/smol-rs/fastrand
ff,0.14.0,MIT/Apache-2.0,https://github.com/zkcrypto/ff
fiat-crypto,0.2.9,MIT OR Apache-2.0 OR BSD-1-Clause,https://github.com/mit-plv/fiat-crypto
fiat-crypto,0.3.0,MIT OR Apache-2.0 OR BSD-1-Clause,https://github.com/mit-plv/fiat-crypto
find-msvc-tools,0.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
fixed-hash,0.8.0,MIT OR Apache-2.0,https://github.com/paritytech/parity-common
fnv,1.0.7,Apache-2.0 / MIT,https://github.com/servo/rust-fnv
foreign-types,0.3.2,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-shared,0.1.1,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
form_urlencoded,1.2.2,MIT OR Apache-2.0,https://github.com/servo/rust-url
fs_extra,1.3.0,MIT,https://github.com/webdesus/fs_extra
funty,2.0.0,MIT,https://github.com/myrrlyn/funty
futures,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-channel,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-core,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-executor,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-io,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-macro,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-sink,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-task,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-util,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
generic-array,0.14.7,MIT,https://github.com/fizyk20/generic-array.git
getrandom,0.2.17,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.3.4,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.4.3,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
gix-hash,0.15.1,MIT OR Apache-2.0,https://github.com/GitoxideLabs/gitoxide
group,0.14.0,MIT/Apache-2.0,https://github.com/zkcrypto/group
h2,0.4.15,MIT,https://github.com/hyperium/h2
half,2.7.1,MIT OR Apache-2.0,https://github.com/VoidStarKat/half-rs
hashbrown,0.17.1,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
heck,0.3.3,MIT OR Apache-2.0,https://github.com/withoutboats/heck
heck,0.4.1,MIT OR Apache-2.0,https://github.com/withoutboats/heck
heck,0.5.0,MIT OR Apache-2.0,https://github.com/withoutboats/heck
hex,0.4.3,MIT OR Apache-2.0,https://github.com/KokaKiwi/rust-hex
hkdf,0.12.4,MIT OR Apache-2.0,https://github.com/RustCrypto/KDFs/
hkdf,0.13.0,MIT OR Apache-2.0,https://github.com/RustCrypto/KDFs/
hmac,0.12.1,MIT OR Apache-2.0,https://github.com/RustCrypto/MACs
hmac,0.13.0,MIT OR Apache-2.0,https://github.com/RustCrypto/MACs
hpke,0.14.0,MIT/Apache-2.0,https://github.com/rozbb/rust-hpke
http,1.5.0,MIT OR Apache-2.0,https://github.com/hyperium/http
http-body,1.1.0,MIT,https://github.com/hyperium/http-body
http-body-util,0.1.4,MIT,https://github.com/hyperium/http-body
httparse,1.10.1,MIT OR Apache-2.0,https://github.com/seanmonstar/httparse
humantime,2.4.0,MIT OR Apache-2.0,https://github.com/chronotope/humantime
hybrid-array,0.4.14,MIT OR Apache-2.0,https://github.com/RustCrypto/hybrid-array
hyper,1.11.0,MIT,https://github.com/hyperium/hyper
hyper-rustls,0.27.9,Apache-2.0 OR ISC OR MIT,https://github.com/rustls/hyper-rustls
hyper-util,0.1.20,MIT,https://github.com/hyperium/hyper-util
icu_collections,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_locale_core,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_provider,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
idna,1.1.0,MIT OR Apache-2.0,https://github.com/servo/rust-url/
idna_adapter,1.2.2,Apache-2.0 OR MIT,https://github.com/hsivonen/idna_adapter
impl-codec,0.6.0,MIT OR Apache-2.0,
impl-serde,0.4.0,MIT OR Apache-2.0,
impl-trait-for-tuples,0.2.3,Apache-2.0/MIT,https://github.com/bkchr/impl-trait-for-tuples
indexmap,2.14.0,Apache-2.0 OR MIT,https://github.com/indexmap-rs/indexmap
inout,0.1.4,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
inout,0.2.2,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
ipnet,2.12.1,MIT OR Apache-2.0,https://github.com/krisprice/ipnet
itertools,0.12.1,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itertools,0.13.0,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itertools,0.14.0,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itoa,1.0.18,MIT OR Apache-2.0,https://github.com/dtolnay/itoa
jni,0.22.4,MIT OR Apache-2.0,https://github.com/jni-rs/jni-rs
jni-macros,0.22.4,MIT OR Apache-2.0,https://github.com/jni-rs/jni-rs
jni-sys,0.4.1,MIT OR Apache-2.0,https://github.com/jni-rs/jni-sys
jni-sys-macros,0.4.1,MIT OR Apache-2.0,https://github.com/jni-rs/jni-sys
jobserver,0.1.35,MIT OR Apache-2.0,https://github.com/rust-lang/jobserver-rs
js-sys,0.3.85,MIT OR Apache-2.0,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys
