name,version,license,repository
adler2,2.0.1,0BSD OR MIT OR Apache-2.0,https://github.com/oyvindln/adler2
aead,0.5.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
aead,0.6.1,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
aho-corasick,1.1.5,Unlicense OR MIT,https://github.com/BurntSushi/aho-corasick
alloc-no-stdlib,2.0.4,BSD-3-Clause,https://github.com/dropbox/rust-alloc-no-stdlib
alloc-stdlib,0.2.4,BSD-3-Clause,https://github.com/dropbox/rust-alloc-no-stdlib
android_system_properties,0.1.6,MIT OR Apache-2.0,https://github.com/nical/android_system_properties
anyhow,1.0.104,MIT OR Apache-2.0,https://github.com/dtolnay/anyhow
arc-swap,1.9.2,MIT OR Apache-2.0,https://github.com/vorner/arc-swap
argon2,0.5.3,MIT OR Apache-2.0,https://github.com/RustCrypto/password-hashes/tree/master/argon2
argon2,0.6.0-rc.8,MIT OR Apache-2.0,https://github.com/RustCrypto/password-hashes
arrayref,0.3.9,BSD-2-Clause,https://github.com/droundy/arrayref
arrayvec,0.7.8,MIT OR Apache-2.0,https://github.com/bluss/arrayvec
asn1-rs,0.6.2,MIT OR Apache-2.0,https://github.com/rusticata/asn1-rs.git
asn1-rs-derive,0.5.1,MIT OR Apache-2.0,https://github.com/rusticata/asn1-rs.git
asn1-rs-impl,0.2.0,MIT/Apache-2.0,https://github.com/rusticata/asn1-rs.git
atk,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
atk-sys,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
atomic-waker,1.1.2,Apache-2.0 OR MIT,https://github.com/smol-rs/atomic-waker
autocfg,1.5.1,Apache-2.0 OR MIT,https://github.com/cuviper/autocfg
aws-lc-rs,1.17.3,ISC AND (Apache-2.0 OR ISC),https://github.com/aws/aws-lc-rs
aws-lc-sys,0.43.0,ISC AND (Apache-2.0 OR ISC) AND Apache-2.0 AND MIT AND BSD-3-Clause AND (Apache-2.0 OR ISC OR MIT) AND (Apache-2.0 OR ISC OR MIT-0),https://github.com/aws/aws-lc-rs
base-x,0.2.11,MIT,https://github.com/OrKoN/base-x-rs
base256emoji,1.0.2,MIT,https://github.com/Jorropo/base256emoji/
base45,3.2.0,MIT,https://github.com/opendevtools/base45
base58-monero,2.1.0,MIT,https://github.com/monero-rs/base58-monero
base64,0.13.1,MIT/Apache-2.0,https://github.com/marshallpierce/rust-base64
base64,0.21.7,MIT OR Apache-2.0,https://github.com/marshallpierce/rust-base64
base64,0.22.1,MIT OR Apache-2.0,https://github.com/marshallpierce/rust-base64
base64ct,1.8.3,Apache-2.0 OR MIT,https://github.com/RustCrypto/formats
base64urlsafedata,0.5.5,MPL-2.0,https://github.com/kanidm/webauthn-rs
bech32,0.11.1,MIT,https://github.com/rust-bitcoin/rust-bech32
bincode,1.3.3,MIT,https://github.com/servo/bincode
bit-set,0.8.0,Apache-2.0 OR MIT,https://github.com/contain-rs/bit-set
bit-vec,0.8.0,Apache-2.0 OR MIT,https://github.com/contain-rs/bit-vec
bitflags,1.3.2,MIT/Apache-2.0,https://github.com/bitflags/bitflags
bitflags,2.13.1,MIT OR Apache-2.0,https://github.com/bitflags/bitflags
bitvec,1.1.1,MIT,https://github.com/bitvecto-rs/bitvec
blake2,0.10.6,MIT OR Apache-2.0,https://github.com/RustCrypto/hashes
blake2,0.11.0-rc.6,MIT OR Apache-2.0,https://github.com/RustCrypto/hashes
blake3,1.8.5,CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception,https://github.com/BLAKE3-team/BLAKE3
block-buffer,0.10.4,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
block-buffer,0.12.1,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
block2,0.6.2,MIT,https://github.com/madsmtm/objc2
bnum,0.13.0,MIT OR Apache-2.0,https://github.com/isaacholt100/bnum
borsh,1.8.0,MIT OR Apache-2.0,https://github.com/near/borsh-rs
borsh-derive,1.8.0,Apache-2.0,https://github.com/near/borsh-rs
bounded-vec,0.9.0,CC0-1.0,https://github.com/ergoplatform/bounded-vec
brotli,8.0.4,BSD-3-Clause AND MIT,https://github.com/dropbox/rust-brotli
brotli-decompressor,5.0.3,BSD-3-Clause/MIT,https://github.com/dropbox/rust-brotli-decompressor
bs58,0.5.1,MIT/Apache-2.0,https://github.com/Nullus157/bs58-rs
bumpalo,3.20.3,MIT OR Apache-2.0,https://github.com/fitzgen/bumpalo
byte-slice-cast,1.2.3,MIT,https://github.com/sdroege/bytes-num-slice-cast
bytemuck,1.25.2,Zlib OR Apache-2.0 OR MIT,https://github.com/Lokathor/bytemuck
byteorder,1.5.0,Unlicense OR MIT,https://github.com/BurntSushi/byteorder
bytes,1.12.1,MIT,https://github.com/tokio-rs/bytes
cairo-rs,0.18.5,MIT,https://github.com/gtk-rs/gtk-rs-core
cairo-sys-rs,0.18.2,MIT,https://github.com/gtk-rs/gtk-rs-core
camino,1.2.5,MIT OR Apache-2.0,https://github.com/camino-rs/camino
cargo-platform,0.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/cargo
cargo_metadata,0.19.2,MIT,https://github.com/oli-obk/cargo_metadata
cargo_toml,0.20.5,Apache-2.0 OR MIT,https://gitlab.com/lib.rs/cargo_toml
cargo_toml,0.22.3,Apache-2.0 OR MIT,https://gitlab.com/lib.rs/cargo_toml
cc,1.4.0,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
cesu8,1.1.0,Apache-2.0/MIT,https://github.com/emk/cesu8-rs
cfb,0.7.3,MIT,https://github.com/mdsteele/rust-cfb
cfg-expr,0.15.8,MIT OR Apache-2.0,https://github.com/EmbarkStudios/cfg-expr
cfg-if,1.0.4,MIT OR Apache-2.0,https://github.com/rust-lang/cfg-if
cfg_aliases,0.2.2,MIT,https://github.com/katharostech/cfg_aliases
chacha20,0.10.1,MIT OR Apache-2.0,https://github.com/RustCrypto/stream-ciphers
chacha20,0.7.3,Apache-2.0 OR MIT,https://github.com/RustCrypto/stream-ciphers
chacha20,0.9.1,Apache-2.0 OR MIT,https://github.com/RustCrypto/stream-ciphers
chacha20poly1305,0.10.1,Apache-2.0 OR MIT,https://github.com/RustCrypto/AEADs/tree/master/chacha20poly1305
