operation,workspace_state,trusted_head_present,identity_match,full_history_validation,historical_revisions_traversed,new_revision_validated,fast_path_used,invalidation_reason,fail_closed,notes
genesis_write,empty (no committed history),no,n/a,yes (empty),0,yes,no,none,n/a,"first write; load_committed_history returns empty; predecessor=Genesis; trusted head set to (1,digest) after commit"
warm_append,committed head present and unchanged,yes,yes,no,1 (head only),yes,yes,none,n/a,"markers confirm head digest; head revision file re-hashed; revisions 1..head-1 not re-read; validated by warm_append_reads_only_head_not_whole_chain"
warm_append_deep_history,12+ revisions present,yes,yes,no,1 (head only),yes,yes,none,n/a,"head read is constant regardless of history depth; warm_append_head_read_is_constant_across_history_depth"
cold_append_after_restart,committed history present,no,n/a,yes,N (all committed),yes,no,restart_empty_map,n/a,"validated-head map is memory-only; first append in a new process fully validates; fresh_process_append_performs_full_history_validation"
append_after_resume,committed history present,no,n/a,yes,N (all committed),yes,no,resume_does_not_warm_writer,n/a,"resume/import never grants writer fast-path trust; resume_does_not_grant_fast_path_trust"
idempotent_no_op,head body identical to new body,yes,yes,no,1 (head only),n/a (no new revision),yes,none,n/a,"returns existing head revision; no new revision written; dedup preserved on the fast path"
head_advanced_externally,marker head revision != trusted,yes,no,yes (fallback),N (all committed),yes,no,head_drift,n/a,"fast path returns Ok(None); full walk re-establishes trust and re-validates before appending"
head_corruption,head file bytes tampered (digest != marker),yes,no,yes (fallback attempted),full walk detects,no,no,head_corruption,yes,"fast path read errors; trusted head discarded; full walk fails closed; head_corruption_invalidates_fast_path_and_fails_closed"
tampered_old_revision,non-head revision bytes tampered,no (cold),n/a,yes,full walk,no,no,payload_digest_mismatch,yes,"cold resume full-walks and fails closed; tampered_old_revision_fails_closed_on_cold_load"
missing_middle_revision,middle committed revision file removed,no (cold),n/a,yes,full walk,no,no,missing_committed_revision,yes,"cold resume fails closed; missing_middle_revision_fails_closed_on_cold_load"
wrong_predecessor,predecessor digest mismatch,no (cold),n/a,yes,full walk,no,no,predecessor_mismatch,yes,"covered by existing workspace.rs wrong_predecessor_digest_fails_closed_even_when_redigested (green)"
divergent_same_generation,two revisions at same generation,no (cold),n/a,yes,full walk,no,no,conflicting_generation,yes,"existing workspace.rs same_generation_divergent_revision_commits_conflict... (green)"
copied_workspace_id,revision copied into another workspace id,no (cold),n/a,yes,full walk,no,no,workspace_id_binding,yes,"existing workspace.rs revision_copied_into_different_workspace_id_is_rejected (green)"
delete_workspace,workspace removed,yes -> cleared,n/a,n/a,n/a,n/a,no,delete,n/a,"delete_election_workspace_v1 clears the validated head; re-created id starts at genesis; delete_clears_trusted_head"
concurrent_append,two in-process appenders,yes,yes,mixed,1 per append,yes,yes/serialized,none,n/a,"per-workspace lock serializes; distinct contiguous revisions; no silent fork; concurrent_appends_do_not_fork"
new_ballot_intake,open election,n/a,n/a,n/a,n/a,n/a,n/a,none,n/a,"Triptych proof verification unchanged by the fast path; new_ballot_still_verifies_cryptographically"
