case,operation,archive_state,identity_reestablished,catalog_rehash,cache_result,full_replay,triptych_verifies,identity_drift,fail_closed,measured_or_confirmed,security_notes
1,first_verification,valid_unchanged,yes,yes,miss_then_cache,1,4,no,n/a,MEASURED,"one full verification; result cached only on verified=true"
2,second_unchanged,valid_unchanged,yes,yes,hit,0,0,no,n/a,MEASURED,"hit after full catalog rehash; zero repeated replay/triptych"
3,cache_hit_zero_replay,valid_unchanged,yes,yes,hit,0,0,no,n/a,MEASURED,"eliminated cost is repeated authoritative proof replay only"
4,mutated_manifest,tampered_manifest,yes,attempted,no_cache,0,0,no,yes,MEASURED,"fresh decode/hash differs or fails; prior result never returned"
5,mutated_ballot,tampered_submission,yes,yes,no_cache,0,0,no,yes,MEASURED,"CATALOG_FILES digest mismatch before replay; zero triptych"
6,same_path_replaced,different_final_archive,yes,yes,miss,1,4,yes,n/a,MEASURED,"different ArchiveHashV1 => new key; no cross-hit; drift recorded+evicted"
7,delete_recreate_identical,identical_content,yes,yes,hit,0,0,no,n/a,MEASURED,"reused only after every current file re-digests to committed value"
8,different_archive,distinct_directory,yes,yes,miss,1,4,no,n/a,MEASURED,"distinct canonical directory never cross-hits"
9,failed_never_cached,broken_then_repaired,yes,yes,no_cache_then_miss,1,4,no,yes,MEASURED,"failure not cached; repair causes a full miss/replay"
10,bounded_eviction,capacity_exceeded,yes,yes,evict_then_miss,1,varies,no,n/a,MEASURED,"LRU eviction; evicted archive fully re-verifies"
11,concurrent_same_archive,valid_unchanged,yes,yes,single_flight,1,4,no,n/a,MEASURED,"8 concurrent callers => exactly one full replay; no lock during replay"
12,different_archives_concurrent,distinct,yes,yes,independent,2,8,no,n/a,MEASURED,"different identities verify concurrently; no global lock"
13,transport_anchor_output,non_finalized_valid,yes,yes,memo_or_full,0_on_hit,0_on_hit,no,n/a,MEASURED,"memo vs non-memo output byte-identical (INCLUDED); reread kept fail-safe"
14,live_config_gate,non_finalized_valid,yes,yes,memo_or_full,0_on_hit,0_on_hit,no,yes,MEASURED,"memo vs non-memo reject at identical finalized gate"
15,live_lifecycle_step,finalized_binding,yes,yes,memo_hit_after_first,0_on_hit,0_on_hit,no,n/a,CONFIRMED,"restore_live_with_verification derives identical runtime facts; existing live_anchor_publish suite green"
16,hostile_input_protections,reparse/nonregular/traversal,yes,yes,fail_closed,0,0,no,yes,CONFIRMED,"establish reuses full verifier symlink_metadata/is_file/ArchivePathV1 policy"
