case,scenario,head_read,head_rehash,body_decode,cache_result,identity_bound,fail_closed,measured_or_confirmed,security_notes
1,cold_append_genesis,no_head,n/a,n/a,seed_on_write,yes,n/a,MEASURED,"genesis has no head to read; write seeds cache from round-trip decode"
2,warm_append_hit,yes,yes,no,hit,yes,n/a,MEASURED,"read+rehash always run (Slice 3B integrity); decode skipped"
3,warm_append_miss,yes,yes,yes,decode_then_cache,yes,n/a,MEASURED,"first warm append after seed loss decodes once then caches"
4,external_head_tamper,yes,yes,n/a,fail_closed,yes,yes,MEASURED,"re-hash mismatch -> Err -> clear cache -> full walk fails closed; never served from cache"
5,revision_change,yes,yes,varies,identity_drift_or_fullwalk,yes,yes,CONFIRMED,"head drift clears trusted head + body cache; full walk re-establishes"
6,payload_digest_change,yes,yes,varies,no_stale_hit,yes,yes,CONFIRMED,"digest is part of the key + re-hashed; a changed digest never matches a cached body"
7,delete_workspace,n/a,n/a,n/a,cache_cleared,yes,n/a,MEASURED,"delete clears trusted head + cached body (bytes gauge -> 0)"
8,import_recovery,n/a,n/a,n/a,no_inherited_trust,yes,yes,CONFIRMED,"resume/import never grants fast-path trust; body cache not populated by them"
9,different_workspace,yes,yes,no,no_cross_hit,yes,n/a,MEASURED,"keyed by workspace_id; each reuses only its own head body"
10,process_restart,n/a,n/a,n/a,empty_cache,yes,n/a,MEASURED,"memory-only; restart empties; next append full-walks"
11,bounded_memory_eviction,yes,yes,varies,lru_evict,yes,n/a,MEASURED,"total byte cap (16 MiB) with LRU eviction; oversize single body not cached"
12,concurrent_append,yes,yes,varies,serialized,yes,n/a,CONFIRMED,"per-workspace append lock unchanged; no silent fork"
13,corrupted_current_head,yes,yes,n/a,fail_closed,yes,yes,CONFIRMED,"read/hash mismatch fails closed exactly as Slice 3B"
14,missing_predecessor,n/a,n/a,n/a,unchanged,yes,yes,CONFIRMED,"predecessor validation unchanged; body cache does not affect it"
15,read_hash_never_skipped,yes,yes,varies,integrity_preserved,yes,yes,MEASURED,"CORRECTED SCOPE: I/O read+hash NOT reduced (would weaken Slice 3B); only decode eliminated"
