command,sync_async,frontend_callers,filesystem_work,network_work,crypto_work,session_reconstruction,potential_duration,main_thread_risk,recommended_execution_model,post_slice1_status
shell_info,sync,About.tsx:31 (mount),none,none,none,none,microseconds,NONE,Remain synchronous - demonstrably trivial,UNCHANGED (out of scope this slice)
load_election,async (spawn_blocking),AppState.tsx:284,3 canonical file reads,none,R Ristretto key canonicality + 1 Ed25519 status verify,builds a FROZEN session (no ballot replay),39 ms at R=4100 (measured decompress) + IO,NONE,No change,UNCHANGED (out of scope this slice)
load_election_folder,async (spawn_blocking),AppState.tsx:310,4 stats + 3 file reads,none,same as load_election,same,same,NONE,No change,UNCHANGED (out of scope this slice)
unload_election,sync,AppState.tsx:386,none,none,none,drops state,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
election_summary,sync,AppState.tsx:215,none,none,none,reads in-memory session,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
active_election_authority,sync,AppState.tsx:216,none,none,none,reads in-memory role,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
list_election_workspaces,sync,AppState.tsx:234 (startup + 10 refresh sites),reads and decodes EVERY revision file of EVERY workspace (workspace.rs:754/822-840),none,per workspace: R Ristretto decompressions + FULL Triptych replay of every stored package,YES - full from_durable_snapshot per workspace (workspace.rs:1085),0.6 s to >20 min - unbounded in ballots x workspaces (measured 298 ms/ballot at R=4100),SEVERE - the confirmed WinDbg hang,Replace with a metadata-only listing; if any replay is ever needed run it on a dedicated CPU worker,RESOLVED: async + run_blocking_command AND replay removed (metadata-only summarise)
active_workspace_ids,sync,AppState.tsx:235,none,none,none,none,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
resume_election_workspace,async (spawn_blocking),AppState.tsx:334,full revision-history read,none,TWO full Triptych replays of the same packages + Ed25519 status verify,YES TWICE (workspace.rs:346 and workspace.rs:353),2x the full replay cost,NONE (already off-thread) but 2x wasted CPU,Collapse to ONE replay; then serve from the verified-session cache,IMPROVED: summary no longer double-replays; exactly one required reconstruction
delete_election_workspace,sync,AppState.tsx:371,recursive dir removal THEN the full listing replay (lib.rs:1556),none,same as list_election_workspaces,YES for every remaining workspace,same as list_election_workspaces,SEVERE,Make async; return a metadata-only listing,RESOLVED: async + run_blocking_command; fail-closed guard preserved; replay removed
open_voting,sync,AppState.tsx:411,load_committed_history (all revisions) + one revision write + fsync,none,blake3 revision digests,NO replay (transactional_clone),grows as O(revisions x revision size); ~1 s at 100 revisions with R=4100,HIGH,Make async + spawn_blocking; cache head revision+digest,DEFERRED: still sync; no longer triggers the SEVERE listing (runLifecycle no longer re-lists); history re-read remains (durable-I/O finding)
close_voting,async (spawn_blocking),AppState.tsx:413,same,none,blake3 revision digests,NO replay,same,NONE,Cache head revision+digest,IMPROVED: no longer triggers a post-action workspace listing
mark_verified,async (spawn_blocking),AppState.tsx:415,same,none,blake3,NO replay,same,NONE,Cache head revision+digest,IMPROVED: no longer triggers a post-action workspace listing
finalize_election,async (spawn_blocking),AppState.tsx:416,same,none,blake3,NO replay,same,NONE,Cache head revision+digest,IMPROVED: no longer triggers a post-action workspace listing
intake_ballot_package,sync,ManageElection.tsx:443,bounded package read + load_committed_history + revision write + fsync,none,ONE full Triptych verify (required) + blake3,NO replay,5.4 ms/ballot at R=50 to 298 ms/ballot at R=4100 plus history read,HIGH,Make async + spawn_blocking,DEFERRED: still sync; required new-ballot verification; off-thread move recommended for Slice 2+
private_intake_inbox_path,sync,ManageElection.tsx:545,creates 2 directories,none,none,reads session manifest hash,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
sync_private_intake,sync,ManageElection.tsx:527 + 607 + 649 (4 s timer),reads EVERY inbox file every pass + load_committed_history + revision write,none,blake3 per file + Triptych verify for genuinely new packages,PARTIAL (new packages only),O(inbox files) IO + O(N^2) digest scan + per-new-ballot verify; runs every 4 s,HIGH - repeats on a timer,Make async + spawn_blocking; keep a decided-digest set to skip known files,DEFERRED: still sync; verifies only new inbox ballots; off-thread + dedup recommended
current_tally,sync,ManageElection.tsx:458 + 511,none,none,none,iterates the in-memory accepted ledger,O(accepted x candidates) - a few ms at 4100x256,LOW,Remain synchronous,UNCHANGED (out of scope this slice)
participation_summary,sync,AppState.tsx:253,none,none,none,reads ledger length + registry length,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
write_archive,async (spawn_blocking),none found,writes the full archive directory,none,blake3 over all archive bytes,none,O(archive size),NONE,No change,UNCHANGED (out of scope this slice)
write_finalized_archive,async (spawn_blocking),ManageElection.tsx:776,writes the full archive directory,none,blake3 over all archive bytes,none,O(archive size),NONE,No change,UNCHANGED (out of scope this slice)
verify_archive,async (spawn_blocking),Archive.tsx:781,reads every archive file,none,FULL Triptych replay of every archived package + blake3 digests,YES (archive replay session),same per-ballot cost as workspace replay,NONE,Keep; optionally memoise per archive hash within one run,UNCHANGED (out of scope this slice)
verify_transport_archive_anchor,async (spawn_blocking),Archive.tsx (api.verifyTransportArchiveAnchor),reads archive + evidence,none,archive replay + anchor digest + batch-set commitment,YES,same,NONE,Reuse a cached verified-archive result keyed by archive hash,UNCHANGED (out of scope this slice)
write_live_anchor_config_from_verified_archive,async (spawn_blocking),ManageElection.tsx:846,archive read + config write,none,full archive replay,YES,same,NONE,Reuse a cached verified-archive result,UNCHANGED (out of scope this slice)
trusted_ootle_deployment_status,sync,ManageElection.tsx:564,app-data file read,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
inspect_template_wasm,sync,ManageElection.tsx:893,reads a user-chosen wasm file,none,blake3 over the file,none,tens of ms for a multi-MB file,MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
lock_trusted_ootle_deployment,sync,ManageElection.tsx:908,app-data file write,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
unlock_trusted_ootle_deployment,sync,ManageElection.tsx:930,app-data file write,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
inspect_anchor_config,sync,Anchor.tsx,user-chosen file read,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
inspect_anchor_snapshot,sync,Anchor.tsx,user-chosen file read,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
inspect_anchor_evidence,sync,Evidence.tsx,user-chosen file read,none,anchor digest structure checks,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
run_live_anchor_lifecycle_step,async (spawn_blocking),ManageElection.tsx:950,config read,YES - walletd + indexer,anchor receipt and finality verification,none,seconds to minutes (bounded by request timeout),NONE,No change,UNCHANGED (out of scope this slice)
walletd_credential_status,sync,ManageElection.tsx:481,OS keyring read,none,none,none,milliseconds (keyring IPC),LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
connect_walletd,async,ManageElection.tsx:2479,OS keyring write,none,none,none,milliseconds,NONE,No change,UNCHANGED (out of scope this slice)
reconnect_walletd,async,ManageElection.tsx:2478,OS keyring write,none,none,none,milliseconds,NONE,No change,UNCHANGED (out of scope this slice)
walletd_readiness,async,ManageElection.tsx:188 + 492,none,YES - probes walletd,none,none,bounded by probe timeout,NONE,No change,UNCHANGED (out of scope this slice)
forget_walletd,async,ManageElection.tsx:2535,OS keyring delete,none,none,none,milliseconds,NONE,No change,UNCHANGED (out of scope this slice)
get_or_create_election_draft,sync,CreateElection.tsx:214,none,none,none,in-memory draft only,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
start_election_draft,sync,CreateElection.tsx,none,none,none,in-memory draft only,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
discard_election_draft,sync,none found,none,none,none,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
set_draft_basics,sync,CreateElection.tsx,load_committed_history over ALL draft revisions + revision write + fsync,none,blake3 revision digests,draft replayed_clone (no crypto),grows as O(edits x draft revision size); a 50 MB governance document makes each revision 50 MB,MEDIUM,Make async + spawn_blocking; cache head revision+digest,UNCHANGED (out of scope this slice)
set_draft_rules,sync,CreateElection.tsx,same,none,blake3,draft clone,same,MEDIUM,Same,UNCHANGED (out of scope this slice)
set_draft_voters,sync,CreateElection.tsx,same (each draft revision embeds up to 4096 governance keys),none,blake3,draft clone,same,MEDIUM,Same,UNCHANGED (out of scope this slice)
set_draft_options,sync,CreateElection.tsx,same,none,blake3,draft clone,same,MEDIUM,Same,UNCHANGED (out of scope this slice)
set_draft_presentation,sync,CreateElection.tsx,same,none,blake3,draft clone,same,MEDIUM,Same,UNCHANGED (out of scope this slice)
import_registry_to_draft,sync,CreateElection.tsx,registry file read + parse + same revision write,none,blake3,draft clone,same plus registry parse,MEDIUM,Same,UNCHANGED (out of scope this slice)
preview_draft,sync,CreateElection.tsx (2 sites),none,none,none,in-memory draft,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
freeze_election,sync,CreateElection.tsx:520,load_committed_history + revision write + authority marker write + supersession marker write,none,R Ristretto key canonicality (measured 39 ms at R=4100),builds a FROZEN session,tens to hundreds of ms,HIGH,Make async + spawn_blocking,PARTIAL: post-freeze listing now metadata-only; freeze itself still sync (deferred)
export_election_artifacts,sync,CreateElection.tsx,writes 3 canonical files,none,none,none,milliseconds to tens of ms,MEDIUM,Make async (MEDIUM priority),UNCHANGED (out of scope this slice)
set_draft_governance_source_revision,sync,CreateElection.tsx,same draft revision write path,none,blake3,draft clone,same,MEDIUM,Make async,UNCHANGED (out of scope this slice)
set_draft_governance_document,sync,CreateElection.tsx,reads a user document up to 50 MB then writes it INTO every subsequent draft revision,none,blake3 over up to 50 MB,draft clone,hundreds of ms to seconds for a large document,MEDIUM-HIGH,Make async + spawn_blocking; store the document out of line,UNCHANGED (out of scope this slice)
clear_draft_governance_document,sync,CreateElection.tsx,same revision write path,none,blake3,draft clone,same,MEDIUM,Make async,UNCHANGED (out of scope this slice)
use_governance_document_digest_as_revision,sync,CreateElection.tsx,same revision write path,none,blake3,draft clone,same,MEDIUM,Make async,UNCHANGED (out of scope this slice)
compute_governance_document_digest,sync,Vote.tsx:608,reads a user document up to 50 MB,none,blake3 over up to 50 MB,none,hundreds of ms to seconds,MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
match_governance_document,sync,none found,reads a user document up to 50 MB,none,blake3 over up to 50 MB,none,hundreds of ms to seconds,MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
voter_confirmation,sync,Vote.tsx:451,optional user document read up to 50 MB,none,optional blake3 over up to 50 MB,reads in-memory session artifacts,microseconds without a document; seconds with one,MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
list_saved_voter_credentials,sync,CreateElection.tsx + Vote.tsx:641,credential directory scan,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
create_durable_voter_credential,async (spawn_blocking),CreateElection.tsx + Vote.tsx:664,credential file write,none,Argon2id KDF (deliberately slow),none,hundreds of ms by design,NONE,No change,UNCHANGED (out of scope this slice)
unlock_saved_voter_credential,async (spawn_blocking),CreateElection.tsx + Vote.tsx:669,credential file read,none,Argon2id KDF,none,hundreds of ms by design,NONE,No change,UNCHANGED (out of scope this slice)
import_voter_credential,async (spawn_blocking),CreateElection.tsx + Vote.tsx:678,credential file read + optional write,none,Argon2id KDF,none,hundreds of ms by design,NONE,No change,UNCHANGED (out of scope this slice)
backup_voter_credential,async (spawn_blocking),CreateElection.tsx + Vote.tsx:683,credential file write,none,Argon2id KDF,none,hundreds of ms by design,NONE,No change,UNCHANGED (out of scope this slice)
clear_voter_credential_from_memory,sync,CreateElection.tsx + Vote.tsx:692,none,none,zeroize,none,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
delete_saved_voter_credential,sync,CreateElection.tsx + Vote.tsx:697,credential file delete,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
voter_governance_credential_status,sync,CreateElection.tsx + Vote.tsx:649,none,none,none,reads in-memory voter session,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
generate_voter_governance_credential,sync,none found,none,none,Ristretto keypair generation,none,sub-millisecond,LOW,Remain synchronous,UNCHANGED (out of scope this slice)
generate_pending_voter_governance_credential,sync,none found,none,none,Ristretto keypair generation,none,sub-millisecond,LOW,Remain synchronous,UNCHANGED (out of scope this slice)
reset_voter_governance_credential,sync,none found,none,none,zeroize,none,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
reset_pending_voter_governance_credential,sync,none found,none,none,zeroize,none,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
