mutation_category,changes_packages,changes_transcript,changes_ledger,changes_tally,changes_lifecycle,changes_head,advance_supported,equivalence_proven,advance_behavior,measured_or_confirmed,notes
accepted_ballot,yes,yes,yes,yes,no,yes,yes,yes,advance_after_confirm,MEASURED,"equals fresh reconstruction across snapshot/transcript/accepted/tally"
rejected_malformed_ballot,yes,yes,no,no,no,yes,yes,yes,advance_after_confirm,MEASURED,"stored+rejected; ledger unchanged; equals fresh reconstruction"
duplicate_nullifier,yes,yes,no,no,no,yes,yes,yes,advance_after_confirm,MEASURED,"first-valid-wins preserved; equals fresh reconstruction"
private_intake_reconciliation,yes,yes,yes,yes,no,yes,yes,yes,advance_after_confirm,MEASURED,"same verify-then-commit pipeline; wired at sync_private_intake"
close_transition,no,no,no,no,yes,yes,yes,yes,advance_after_confirm,MEASURED,"equals fresh reconstruction"
mark_verified_transition,no,no,no,no,yes,yes,yes,yes,advance_after_confirm,MEASURED,"equals fresh reconstruction"
finalization,no,no,no,no,yes,yes,yes,yes,advance_after_confirm,MEASURED,"equals fresh reconstruction"
sequential_multi_mutation,yes,yes,yes,yes,maybe,yes,yes,yes,advance_after_confirm,MEASURED,"every intermediate head equals fresh reconstruction; 0 replay between"
freeze_genesis,yes,yes,yes,yes,yes,yes,no,n/a,invalidate,CONFIRMED,"first session commit; low value (cheap cold reconstruct); left as invalidate"
write_failure,n/a,n/a,n/a,n/a,n/a,no,no,n/a,no_advance,CONFIRMED,"mutation errors before advance; no cache authority"
revision_drift,n/a,n/a,n/a,n/a,n/a,drift,no,n/a,fallback_invalidate,MEASURED,"re-read head revision != expected -> identity_drift + cold replay"
external_head_change,n/a,n/a,n/a,n/a,n/a,drift,no,n/a,fallback_invalidate,MEASURED,"different committed head between write and re-read -> not advanced"
delete_workspace,n/a,n/a,n/a,n/a,n/a,removed,no,n/a,invalidate,CONFIRMED,"delete path invalidates; unchanged"
restart,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,empty_cache,CONFIRMED,"cache memory-only; no persistent trust; cold replay on next launch"
concurrent_same_election_resume,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,single_flight,CONFIRMED,"Slice 2 single-flight preserved; advanced value equals reconstruction"
new_ballot_verification,yes,yes,yes,yes,no,yes,n/a,n/a,verified_once,CONFIRMED,"new proof still verified exactly once at intake; advancement never bypasses"
