trigger,frontend_caller,tauri_command,rust_call_path,durable_reconstruction,triptych_verification,other_crypto_verification,historical_ballots_touched,sync_main_thread,security_necessity,cache_eligibility,recommended_change,post_slice1_status
Application startup (AppStateProvider mount effect),gui/src/state/AppState.tsx:273-279 -> refreshWorkspaces() AppState.tsx:226-244,list_election_workspaces,lib.rs:1406 -> workspace.rs:262 -> load_committed_history workspace.rs:754 -> summarize_workspace workspace.rs:1055 -> session.rs:1085/109 -> session.rs:142 -> session.rs:298/374 -> approval_ingestion.rs:45 -> proof_verification.rs:90 -> triptych_verifier.rs:114 -> proof.rs:412/807,YES,YES,registry-key canonicality (R Ristretto decompressions) + blake3 revision digests + blake3 package digests,ALL packages in EVERY listed workspace,YES,NOT required for display fields; accepted count is the only field needing the ledger,ELIGIBLE (immutable head-revision digest),Metadata-only listing + persisted authenticated accepted count; never replay for listing,RESOLVED: listing is metadata-only and on the blocking pool; 0 replay / 0 Triptych
Home screen navigation,gui/src/screens/Home.tsx (no useEffect; reads AppState.workspaces),none,n/a,NO,NO,none,0,n/a,n/a,n/a,No change needed - already free,UNCHANGED: already performed no historical replay
Home > Resume button,gui/src/screens/Home.tsx:404-416 -> AppState.tsx:331-366,resume_election_workspace,lib.rs:1449 -> run_blocking_command -> workspace.rs:320 -> summarize_workspace workspace.rs:346 (replay #1) AND from_durable_snapshot workspace.rs:353 (replay #2),YES (TWICE),YES (TWICE),same as above + Ed25519 status-statement verify (election_status.rs:352),2x ALL packages of that workspace,NO (spawn_blocking),ONE authoritative replay required to rebuild the nullifier ledger,ELIGIBLE (verified session cache),Collapse to ONE replay; serve the summary from the reconstructed session,IMPROVED: double replay -> single required replay (summary now metadata-only)
Home > Resume (post-resume list refresh),AppState.tsx:358 refreshWorkspaces(),list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: listing metadata-only; 0 replay
Home > Delete workspace,gui/src/screens/Home.tsx:422-437 -> AppState.tsx:368-381,delete_election_workspace,lib.rs:1527 -> delete_election_workspace_v1 then lib.rs:1556 list_election_workspaces_v1,YES,YES,same,ALL packages in EVERY remaining workspace,YES,NOT required,ELIGIBLE,Metadata-only listing after delete,RESOLVED: metadata-only listing on the blocking pool; 0 replay
Manage Election > Open voting,gui/src/screens/ManageElection.tsx -> AppState.tsx:400-432 runLifecycle open,open_voting,lib.rs:1564 -> mutate_session_transactionally lib.rs:986 -> transactional_clone (NO replay) -> write_session_workspace_revision_v1 -> workspace.rs:684 load_committed_history,NO session replay but FULL revision-history decode,NO,blake3 over every prior revision payload,0 proofs; ALL prior revisions decoded,YES,Revision-chain integrity required on append,History read ELIGIBLE (head digest is sufficient),Cache head revision+digest in process; do not re-read the whole chain,UNCHANGED: already performed no historical replay
Manage Election > Open voting (post-action list refresh),AppState.tsx:426 refreshWorkspaces(),list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: refreshWorkspaces removed from runLifecycle; no listing occurs
Manage Election > Close voting,AppState.tsx runLifecycle close,close_voting,lib.rs:1596 -> run_blocking_command -> mutate_session_transactionally -> write_workspace_revision -> load_committed_history,NO session replay but FULL revision-history decode,NO,blake3 revision digests,ALL prior revisions decoded,NO (spawn_blocking),Revision-chain integrity required,History read ELIGIBLE,Cache head revision+digest,UNCHANGED: already performed no historical replay
Manage Election > Close voting (post-action list refresh),AppState.tsx:426 refreshWorkspaces(),list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: refreshWorkspaces removed from runLifecycle; no listing occurs
Manage Election > Mark verified,AppState.tsx runLifecycle verify,mark_verified,lib.rs:1653 -> run_blocking_command -> mutate_session_transactionally,NO session replay,NO,blake3 revision digests,ALL prior revisions decoded,NO,Revision-chain integrity,History read ELIGIBLE,Cache head revision+digest,UNCHANGED: already performed no historical replay
Manage Election > Mark verified (post-action list refresh),AppState.tsx:426 refreshWorkspaces(),list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: refreshWorkspaces removed from runLifecycle; no listing occurs
Manage Election > Finalize,AppState.tsx runLifecycle finalize,finalize_election,lib.rs:1684 -> run_blocking_command -> mutate_session_transactionally,NO session replay,NO,blake3 revision digests,ALL prior revisions decoded,NO,Revision-chain integrity,History read ELIGIBLE,Cache head revision+digest,UNCHANGED: already performed no historical replay
Manage Election > Finalize (post-action list refresh),AppState.tsx:426 refreshWorkspaces(),list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: refreshWorkspaces removed from runLifecycle; no listing occurs
Manage Election screen mount / re-navigation (walletd),gui/src/screens/ManageElection.tsx:476-502,walletd_credential_status + walletd_readiness,lib.rs:2311 / lib.rs:2351,NO,NO,none,0,walletd_credential_status YES (OS keyring read),Not security-critical,n/a,Move the keyring read off the main thread (LOW priority),UNCHANGED: already performed no historical replay
Manage Election screen mount (tally),gui/src/screens/ManageElection.tsx:503-521,current_tally,lib.rs:1928 -> session.tally() session.rs:467 -> direct_tally session.rs:541,NO,NO,none,0 proofs; iterates the accepted ledger only,YES,Tally disclosure gate required (sealed before close),Result ELIGIBLE (pure function of the ledger),Keep; O(accepted x candidates) is bounded,UNCHANGED: already performed no historical replay
Manage Election screen mount (intake + deployment status),gui/src/screens/ManageElection.tsx:585-593,organizer_tor_status + trusted_ootle_deployment_status,organizer_tor_intake.rs:374 (spawn_blocking) / lib.rs:2108 (sync),NO,NO,none,0,trusted_ootle_deployment_status YES (file read),n/a,n/a,Make trusted_ootle_deployment_status async,UNCHANGED: already performed no historical replay
