operation,caller,requires_authoritative_state,cache_lookup,cache_hit_allowed,key_inputs,hit_revalidation,miss_reconstruction,mutation_behavior,historical_replay_on_hit,Triptych_calls_on_hit,single_flight,security_notes
workspace_listing,list_election_workspaces_v1,no,no,no,n/a,n/a,no,n/a,0,0,n/a,Slice 1 metadata-only display path; stored_ballot_count is non-authoritative
durable_resume,resume_election_workspace Tauri command,yes,yes,yes,workspace_id+head_revision+head_revision_digest_hex+verifier_epoch,full committed-head reload before return plus organizer marker and signed-status sidecar reread,full GuiElectionSessionV1 replay from initially validated snapshot,successful later revision invalidates matching workspace entry; observed drift fails closed,0,0,per-key owner/waiter; different heads: 1 when CPUs=1 or 2 otherwise 2,only VerifiedElectionSessionV1 enters cache; worker runs via run_blocking_command
active_tally,current_tally,yes,no,n/a,active verified session,n/a,no,active session mutation replaces it,0,0,n/a,uses already installed authoritative session and never display metadata
participation,participation_summary,yes,no,n/a,active verified session,n/a,no,active session mutation replaces it,0,0,n/a,uses already installed authoritative session
lifecycle_mutation,open/close/mark_verified/finalize,yes,no,n/a,active verified session,n/a,no,write committed revision then invalidate workspace entries,0,0,n/a,transactional clone preserves validation; no cache incremental update
offline_new_ballot,intake_ballot_package,yes,no,no,n/a,n/a,no,new ballot verifies exactly once then committed revision invalidates cache,0,0,n/a,cache cannot bypass ingest_approval_ballot_package_v1
private_inbox_new_ballot,sync_private_intake,yes,no,no,n/a,n/a,no,newly accepted package verifies then committed revision invalidates cache,0,0,n/a,known-package behavior unchanged; no cache trust for intake
workspace_delete,delete_election_workspace,yes,no,no,workspace_id,n/a,no,delete succeeds then matching cache entries removed,0,0,n/a,active-workspace delete guard remains; stale entry cannot be reachable
manifest_registry_candidate_or_package_change,external recovery/import/replacement or new revision,yes,yes,no if head identity changes,fresh committed head identity,full committed-head validation detects mismatch before cache return,full replay of new head if valid,key change makes prior entry unreachable; local mutation also eagerly invalidates,0,0,per-key for new head,digest covers committed serialized artifacts and packages
persisted_status_sidecar,resume after cached or uncached workspace load,yes,no,no,manifest/registry bindings from replayed session,re-read persisted record and verify signature/binding each resume,no,does not alter cache entry; changes only caller clone,0,0,n/a,status is intentionally outside workspace cache key
organizer_authority_sidecar,resume after cached or uncached workspace load,yes,no,no,workspace directory marker,re-read in workspace summary and again in Tauri resume worker,no,does not alter cache entry; malformed/missing is voter-only,0,0,n/a,authority never derives from cached session or public artifacts
archive_verification,verify_archive and anchor archive flows,yes,no,no,archive-specific inputs,n/a,independent archive replay,n/a,n/a,n/a,n/a,separate archive trust domain intentionally deferred
