operation,source_file,source_line,reads_full_history,decodes_full_history,serializes_full_snapshot,writes_full_snapshot,hashes_history,security_reason,complexity,notes
write_session_workspace_revision_v1,crates/gui-core/src/workspace.rs,271-277,indirect,indirect,yes,indirect,indirect,delegates session snapshot persistence,O(S_revision)+delegate,"to_durable_snapshot clones packages and re-encodes artifacts first"
write_workspace_revision,crates/gui-core/src/workspace.rs,740-809,yes,yes,yes,yes,yes,"chooses predecessor from validated head; refuses illegal lifecycle regressions; crash ordering","O(sum prior S_revision)+O(S_new)","writes temp then final; no rename"
load_committed_history,crates/gui-core/src/workspace.rs,846-935,yes,yes,no,no,yes,"requires contiguous commits, matching files/digests, and predecessor chain","O(V + sum S_revision)","returns all committed records, not only head"
load_commit_markers,crates/gui-core/src/workspace.rs,937-982,all commit files,all commit markers,no,no,no,"detects gaps/conflicting commit generations","O(V)","marker payload does not carry an external signature"
load_committed_revision_files,crates/gui-core/src/workspace.rs,984-1028,all revision files through head,one decode/file,no,no,one hash/file,"filename/payload digest and workspace/revision binding","O(sum prior S_revision)","uncommitted future revisions are ignored"
read_valid_revision_file,crates/gui-core/src/workspace.rs,1033-1052,one payload,one decode,no,no,one payload hash,"rejects unsafe, oversized, mismatched payload","O(S_revision)","load_committed_history decodes the payload a second time for predecessor validation"
validate_predecessor,crates/gui-core/src/workspace.rs,1081-1110,no,uses loaded records,no,no,no,"detects genesis/sequence/predecessor mismatch","O(V)","head commits predecessor digest transitively"
session_to_durable_snapshot,crates/gui-core/src/session.rs,191-214,no,no,full artifacts plus cloned packages,no,no,"durable representation deliberately contains canonical replay inputs","O(S_registry+B*S_package)","does not serialize verifier/ledger/transcript"
new_package_intake,crates/gui-core/src/session.rs,375-415,no,no,no,no,no,"one live proof verification, transcript decision, exact package retention","O(verify)+O(S_package)","historical proofs are not replayed for same-process mutation"
transactional_mutation,gui/src-tauri/src/lib.rs,1004-1040,yes,yes,yes,yes,yes,"writes only after successful organizer-authorized clone mutation","O(history bytes)+O(snapshot bytes)","lifecycle and offline intake use this path"
private_inbox_reconciliation,gui/src-tauri/src/lib.rs,1911-1966,yes when newly accepted,yes when newly accepted,yes when newly accepted,yes when newly accepted,yes when newly accepted,"durably promotes accepted inbox work; no revision when no new acceptance","O(history bytes)+O(snapshot bytes)","batching can reduce revision count but does not change snapshot shape"
resume_with_slice2_cache,crates/gui-core/src/workspace.rs,353-424,yes,yes,no,no,yes,"cache identity must be validated before/after reconstruction; sidecars reread","3 full loads on miss; 2 on hit","proof replay only on miss; listing remains metadata-only"
