operation,registry_size,proof_count,batch_size,workers,verification_mode,serial_or_parallel,context_reused,fallback_behavior,ordered_apply,historical_replays,Triptych_calls,duration,measured_or_projected,security_notes
cold_replay_naive,4096,4096,1,1,individual,serial,no,n/a,canonical,4096,4096,25938237056us,PROJECTED,"4A baseline: rebuild election context every verify; 4096 x per_ballot_current"
cold_replay_reused_context,4096,4096,1,1,individual,serial,yes,n/a,canonical,4096,4096,24382764320us,PROJECTED,"build context once per worker; then 4096 x verify; ~1.06x over naive (4A)"
cold_replay_batch4_single_core,4096,4096,4,1,verify_batch,serial,yes,full_blame_on_failure,canonical,4096,4096,6298549632us,PROJECTED,"reused context + vendored verify_batch(4); 4096 x batch4/proof; ~3.9x (4A)"
cold_replay_batch4_three_workers,4096,4096,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,4096,4096,2099516544us,PROJECTED,"batch(4) across 3 bounded workers (4 CPU minus GUI); ~11.6x over naive; DEBUG; release re-measurement required"
projection_50,50,50,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,50,50,1327850us,PROJECTED,"batch(4)x3 workers; conservative (prod batch=16 amortizes more); ~8.2x vs serial; DEBUG; 4A ring-scaling"
projection_100,100,100,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,100,100,4242633us,PROJECTED,"~8.3x vs serial; DEBUG; 4A ring-scaling"
projection_500,500,500,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,500,500,71142167us,PROJECTED,"~7.4x vs serial; DEBUG; 4A ring-scaling"
projection_1000,1000,1000,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,1000,1000,160772333us,PROJECTED,"~11.5x vs serial; DEBUG; 4A ring-scaling"
projection_2048,2048,2048,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,2048,2048,580454400us,PROJECTED,"~12.7x vs serial; DEBUG; 4A ring-scaling"
projection_4096,4096,4096,4,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,4096,4096,2099503104us,PROJECTED,"maximum election; ~12.4x vs serial; DEBUG; release re-measurement required before any target"
measured_serial,3,256,1,1,individual,serial,no,n/a,canonical,256,256,16403597us,MEASURED_DEBUG,"fixture ring exponent 2; from_durable_snapshot; 4-CPU; median of 5; DEBUG"
measured_w1_b16,3,256,16,1,serial_fallback,serial,no,n/a,canonical,256,256,17240711us,MEASURED_DEBUG,"worker_count=1 routes to inline serial loop; 0.95x; confirms W=1==serial"
measured_w2_b16,3,256,16,2,verify_batch,parallel,yes,full_blame_on_failure,canonical,256,256,4645035us,MEASURED_DEBUG,"3.53x vs serial; batch-verify CPU-work total 8.53s across threads"
measured_w3_b16,3,256,16,3,verify_batch,parallel,yes,full_blame_on_failure,canonical,256,256,3113580us,MEASURED_DEBUG,"5.27x vs serial; production budget on this 4-CPU machine"
measured_w4_b16,3,256,16,4,verify_batch,parallel,yes,full_blame_on_failure,canonical,256,256,2407319us,MEASURED_DEBUG,"6.81x vs serial; forced W=4 (bypasses global budget)"
measured_w4_b32,3,256,32,4,verify_batch,parallel,yes,full_blame_on_failure,canonical,256,256,2305331us,MEASURED_DEBUG,"7.11x vs serial; batch 32"
measured_w4_b64,3,256,64,4,verify_batch,parallel,yes,full_blame_on_failure,canonical,256,256,2468587us,MEASURED_DEBUG,"6.65x vs serial; batch 64"
new_ballot_intake,4096,1,1,1,individual,serial,no,n/a,canonical,0,1,per_ballot,CONFIRMED,"live intake unchanged; exactly one verify per new ballot; never routed through historical batch replay"
workspace_listing,4096,0,0,0,none,n/a,n/a,n/a,n/a,0,0,0,CONFIRMED,"Slice 1 metadata-only; zero replay; zero Triptych calls regardless of stored count"
